,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
60,Okha,53.57,142.95,29.82,96,97,10.78,RU,1605390039
61,Constitución,-35.33,-72.42,58.87,60,0,17.49,CL,1605390040
62,Kaitangata,-46.28,169.85,64.99,59,100,3.8,NZ,1605390042
63,Sioux Lookout,50.1,-91.92,37.4,59,90,11.41,CA,1605390043
64,Rocha,-34.48,-54.33,66.94,86,100,6.49,UY,1605390046
65,Buala,-8.14,159.59,85.1,72,27,6.78,SB,1605390047
66,Mount Gambier,-37.83,140.77,64.4,55,40,18.34,AU,1605390049
67,Hokitika,-42.72,170.97,62.22,67,1,2.3,NZ,1605390050
68,Bengkulu,-3.8,102.27,76.53,86,92,4.83,ID,1605390051
69,Ribeira Grande,38.52,-28.7,66.2,77,20,14.99,PT,1605390053
70,New Norfolk,-42.78,147.06,57.0,64,35,1.99,AU,1605390054
71,Ulladulla,-35.35,150.47,66.2,72,0,6.93,AU,1605390056
72,Koumac,-20.57,164.28,81.34,68,0,3.04,NC,1605390057
73,Bluff,-46.6,168.33,64.99,70,100,5.01,NZ,1605389761
74,Acapulco de Juárez,16.86,-99.89,87.8,70,20,5.82,MX,1605389927
75,Tuktoyaktuk,69.45,-133.04,14.0,85,90,24.16,CA,1605390061
76,Fare,-16.7,-151.02,80.62,72,100,8.97,PF,1605390063
77,Yacuiba,-22.04,-63.68,92.46,40,0,5.39,BO,1605390064
78,Lewiston,44.1,-70.21,44.6,48,1,13.87,US,1605390066
79,Port Hedland,-20.32,118.57,75.2,69,0,8.05,AU,1605390067
80,Port Macquarie,-31.43,152.92,73.99,88,0,5.82,AU,1605390068
81,Sortavala,61.71,30.69,35.4,84,60,12.41,RU,1605390070
82,Santa Catarina de Tepehuanes,25.35,-105.73,74.12,21,0,14.23,MX,1605390071
83,Flinders,-34.58,150.86,72.0,66,0,4.14,AU,1605390073
84,Zhuhai,22.28,113.57,71.6,83,40,13.87,CN,1605390074
85,Madaoua,14.07,5.96,81.25,19,0,14.34,NE,1605390076
86,Pevek,69.7,170.31,-1.03,89,27,8.37,RU,1605390077
87,Rusape,-18.53,32.13,59.56,63,0,3.24,ZW,1605390079
88,Port Lincoln,-34.73,135.87,71.46,50,41,3.18,AU,1605390080
89,Yellowknife,62.46,-114.35,6.8,77,90,4.7,CA,1605390070
90,Lompoc,34.64,-120.46,66.2,52,1,17.22,US,1605390083
91,Narsaq,60.92,-46.05,19.4,73,0,9.17,GL,1605390084
92,Rovaniemi,66.5,25.72,35.6,93,90,11.41,FI,1605390086
93,Ushtobe,45.25,77.98,35.62,73,100,5.01,KZ,1605389799
94,Athens,37.98,23.72,57.0,71,20,4.83,GR,1605389822
95,Port Hardy,50.7,-127.42,42.8,87,90,18.34,CA,1605390090
96,Sorong,-0.88,131.25,78.78,84,100,2.86,ID,1605390091
97,Bay Roberts,47.6,-53.26,33.01,98,100,13.0,CA,1605390092
98,Severodvinsk,64.56,39.83,33.8,88,90,4.47,RU,1605390001
99,Maţāy,28.42,30.78,63.66,80,0,13.85,EG,1605390095
100,Arrondissement de Cholet,47.17,-1.0,57.0,87,93,16.58,FR,1605390097
101,Abaza,52.66,90.09,17.64,89,14,0.92,RU,1605390098
102,Esil,51.96,66.4,18.16,93,100,13.51,KZ,1605390100
103,Dudinka,69.41,86.18,-7.6,83,75,11.18,RU,1605390101
104,Srednekolymsk,67.45,153.68,-16.89,88,73,2.13,RU,1605390102
105,Haines Junction,60.75,-137.51,14.0,78,98,1.12,CA,1605390104
106,Alofi,-19.06,-169.92,80.6,74,40,13.87,NU,1605390105
107,Tasiilaq,65.61,-37.64,20.12,95,100,6.46,GL,1605390108
108,Zheleznodorozhnyy,55.75,38.0,34.0,100,90,6.71,RU,1605390109
109,Nago,26.59,127.98,75.2,83,20,16.11,JP,1605390111
110,Cidreira,-30.18,-50.21,71.87,83,0,13.51,BR,1605390112
111,Tsabong,-26.02,22.4,80.22,34,70,13.56,BW,1605390113
112,Hilo,19.73,-155.09,78.8,65,90,6.93,US,1605389823
113,Hinton,53.4,-117.59,35.6,43,29,4.7,CA,1605390116
114,Sitka,57.05,-135.33,37.4,86,90,4.7,US,1605390118
115,Canchungo,12.07,-16.03,73.4,94,0,3.98,GW,1605390119
116,Xiaoweizhai,26.19,107.51,48.69,82,3,1.36,CN,1605390120
117,Labuhan,-6.88,112.21,79.7,84,92,4.99,ID,1605390122
118,Vila Velha,-20.33,-40.29,77.0,88,75,6.93,BR,1605390123
119,Avera,33.19,-82.53,73.4,46,1,3.36,US,1605390125
120,Atuona,-9.8,-139.03,77.97,72,17,13.96,PF,1605390126
121,Keningau,5.34,116.16,75.2,94,20,4.7,MY,1605390129
122,Soddy-Daisy,35.24,-85.19,71.6,33,75,6.93,US,1605390132
123,Laramie,41.31,-105.59,24.8,53,75,33.33,US,1605390133
124,Nishihara,26.18,127.76,75.2,83,40,16.11,JP,1605390134
125,Simao,22.79,100.97,52.74,80,0,2.3,CN,1605390136
126,Ambilobe,-13.2,49.05,75.04,87,100,5.48,MG,1605390137
127,Olafsvik,64.89,-23.71,34.25,87,79,16.13,IS,1605390139
128,Cabo San Lucas,22.89,-109.91,79.0,68,53,5.01,MX,1605389971
129,Castro,-24.79,-50.01,71.46,69,55,2.17,BR,1605389893
130,Bredasdorp,-34.53,20.04,60.8,67,99,3.36,ZA,1605390143
131,Matamoros,25.53,-103.25,87.8,15,5,8.25,MX,1605390144
132,Santa Cruz de La Palma,28.68,-17.76,77.0,61,20,10.29,ES,1605390146
133,Tra Vinh,9.93,106.35,73.26,89,100,3.71,VN,1605390147
134,Sūsangerd,31.56,48.18,66.2,63,0,4.7,IR,1605389912
135,Selenicë,40.53,19.64,55.18,74,92,3.38,AL,1605390150
136,Tuatapere,-46.13,167.68,64.99,67,100,7.0,NZ,1605390151
137,Katsuura,35.13,140.3,50.0,66,20,5.82,JP,1605390133
138,Vostok,46.49,135.88,19.96,91,39,5.82,RU,1605390154
139,Kanniyākumāri,8.08,77.57,79.7,78,100,19.3,IN,1605390157
140,Yanam,16.73,82.22,78.82,74,0,9.31,IN,1605390158
141,Al Bardīyah,31.76,25.09,64.53,76,2,11.07,LY,1605390161
142,Merauke,-8.47,140.33,77.49,76,0,13.11,ID,1605390162
143,Rio Verde de Mato Grosso,-18.92,-54.84,83.86,55,53,2.75,BR,1605390164
144,Provideniya,64.38,-173.3,18.93,87,40,5.95,RU,1605390165
145,Praia,14.92,-23.51,78.8,74,0,10.29,CV,1605390166
146,Saint-Philippe,-21.36,55.77,73.4,73,90,8.05,RE,1605390168
147,Cherskiy,68.75,161.3,-11.47,84,21,3.51,RU,1605390169
148,Bagotville,-28.98,153.42,75.0,83,90,11.41,AU,1605390171
149,Xunchang,28.45,104.72,59.67,68,0,2.42,CN,1605390172
150,Emerald,-23.53,148.17,78.8,78,0,10.29,AU,1605390173
151,Tripoli,32.88,13.19,67.1,62,0,10.25,LY,1605390046
152,Huarmey,-10.07,-78.15,67.91,71,54,8.9,PE,1605390176
153,Torbay,47.67,-52.73,33.01,99,90,29.97,CA,1605390178
154,Hong Kong,22.29,114.16,72.0,82,99,1.01,HK,1605390031
155,Hasaki,35.73,140.83,41.0,93,20,4.7,JP,1605389950
156,Marquette,46.53,-87.63,42.01,71,100,11.01,US,1605390182
157,Ketchikan,55.34,-131.65,41.0,93,90,11.41,US,1605390183
158,Saint George,37.1,-113.58,62.01,18,1,5.82,US,1605390059
159,Carnarvon,-24.87,113.63,66.2,72,0,11.41,AU,1605390186
160,Hofn,64.25,-15.21,38.12,75,49,13.42,IS,1605390189
161,San Policarpo,12.18,125.51,81.05,81,27,10.8,PH,1605390190
162,Makkah al Mukarramah,21.43,39.83,76.05,73,0,3.83,SA,1605390121
163,Takhli,15.26,100.34,73.0,67,62,2.93,TH,1605390193
164,Kahului,20.89,-156.47,86.0,48,40,20.8,US,1605390066
165,Kruisfontein,-34.0,24.73,64.0,72,45,3.0,ZA,1605390196
166,Geraldton,-28.77,114.6,62.6,55,75,10.29,AU,1605390197
167,Shirokiy,49.76,129.52,20.52,97,76,7.76,RU,1605390198
168,Qaanaaq,77.48,-69.36,3.7,80,91,14.81,GL,1605390200
169,Aného,6.23,1.6,84.2,79,20,8.05,TG,1605390201
170,Zharkent,44.16,80.0,33.57,94,100,2.95,KZ,1605390203
171,Norman Wells,65.28,-126.83,-7.6,83,75,0.49,CA,1605390204
172,Tiksi,71.69,128.87,-4.94,91,39,7.11,RU,1605390208
173,Qena,26.16,32.72,69.8,64,0,4.7,EG,1605390210
174,Sept-Îles,50.2,-66.38,33.8,97,90,0.22,CA,1605389955
175,San Patricio,28.02,-97.52,87.8,58,75,19.46,US,1605390212
176,Talnakh,69.49,88.4,-7.6,83,75,11.18,RU,1605390214
177,Lensk,60.73,114.93,10.81,92,100,11.32,RU,1605390215
178,Guerrero Negro,27.98,-114.06,69.66,62,0,18.81,MX,1605390216
179,Colac,-38.33,143.58,64.99,57,57,1.01,AU,1605390218
180,Nevel',56.02,29.93,31.91,97,96,4.92,RU,1605390219
181,Yokadouma,3.52,15.05,72.28,74,96,1.97,CM,1605390221
182,Houma,29.6,-90.72,80.01,65,40,10.29,US,1605390211
183,Zabul Province,32.25,67.25,39.06,83,99,19.91,AF,1605390223
184,Bathsheba,13.22,-59.52,82.4,78,20,5.82,BB,1605390225
185,Zyryanka,65.75,150.85,-13.85,88,100,2.71,RU,1605390226
186,Kosh-Agach,50.0,88.67,14.31,83,100,1.92,RU,1605390228
187,Tual,-5.67,132.75,83.62,77,25,9.26,ID,1605389946
188,Ambulu,-8.35,113.61,76.82,86,92,4.03,ID,1605390232
189,Inuvik,68.35,-133.72,5.0,84,96,3.36,CA,1605390132
190,Pachino,36.72,15.09,55.0,93,0,3.36,IT,1605390236
191,Sa Kaeo,13.75,102.33,67.46,77,100,2.91,TH,1605390237
192,Pittsburg,38.03,-121.88,63.0,39,1,5.82,US,1605390219
193,Rio Grande,-32.03,-52.1,73.0,85,25,5.01,BR,1605390240
194,Codrington,-38.27,141.97,65.97,69,77,10.27,AU,1605390241
195,Novokayakent,42.39,47.99,42.8,75,20,6.71,RU,1605390243
196,Baijiantan,45.63,85.18,38.3,77,71,5.75,CN,1605390246
197,Grand-Santi,4.25,-54.38,75.24,94,77,4.54,GF,1605390247
198,Khatanga,71.97,102.5,3.52,94,100,19.8,RU,1605390249
199,Bandarbeyla,9.49,50.81,75.45,76,0,13.62,SO,1605390250
200,Bajina Bašta,43.97,19.57,39.2,100,0,1.12,RS,1605390251
201,Sisimiut,66.94,-53.67,11.41,88,7,17.27,GL,1605390253
202,Ponta do Sol,32.67,-17.1,69.8,94,75,8.05,PT,1605390254
203,Kovdor,67.57,30.48,32.09,97,83,10.16,RU,1605390256
204,Omsukchan,62.53,155.8,5.97,92,100,4.34,RU,1605390257
205,Progreso,21.28,-89.67,84.2,74,75,6.93,MX,1605390258
206,Mnogovershinnyy,53.94,139.92,22.73,98,100,9.37,RU,1605390260
207,Matara,5.95,80.54,76.57,89,38,5.19,LK,1605390261
208,Kodinsk,58.69,99.18,15.58,96,89,1.39,RU,1605390263
209,Dubbo,-32.25,148.62,72.34,43,0,5.53,AU,1605390264
210,Bria,6.54,21.99,70.74,59,99,1.57,CF,1605390265
211,Margate,51.38,1.39,57.99,87,94,5.99,GB,1605390267
212,Marsala,37.8,12.44,68.0,93,20,11.41,IT,1605390268
213,Kloulklubed,7.04,134.26,78.8,94,75,3.36,PW,1605390270
214,Abong Mbang,3.98,13.18,69.98,67,80,1.63,CM,1605390271
215,Mahbūbābād,17.62,80.02,68.47,80,0,0.98,IN,1605390272
216,Port Blair,11.67,92.75,80.38,80,19,12.15,IN,1605390274
217,Touros,-5.2,-35.46,78.8,83,40,8.05,BR,1605390275
218,Mossamedes,-15.2,12.15,69.91,77,52,7.65,AO,1605390277
219,Salalah,17.02,54.09,73.4,56,0,3.36,OM,1605390196
220,La Ronge,55.1,-105.28,15.8,78,100,12.75,CA,1605390010
221,Esperance,-33.87,121.9,51.8,93,6,17.22,AU,1605390282
222,Jalu,29.03,21.55,62.96,57,0,7.31,LY,1605390284
223,Buraidah,26.33,43.98,64.4,52,0,10.29,SA,1605390166
224,Upernavik,72.79,-56.15,11.03,85,100,11.5,GL,1605390288
225,El Fuerte,26.42,-108.62,85.77,29,0,9.73,MX,1605390289
226,Barra de Tecoanapa,16.52,-98.75,84.42,70,3,9.55,MX,1605390291
227,Črnomelj,45.57,15.19,44.01,93,90,1.12,SI,1605390292
228,Władysławowo,54.79,18.4,51.01,100,90,4.7,PL,1605390293
229,Hambantota,6.12,81.12,77.0,100,0,3.36,LK,1605390296
230,Tanete,-3.94,119.78,76.14,87,47,2.06,ID,1605390297
231,Verkh-Usugli,52.7,115.17,15.55,86,13,2.19,RU,1605390299
232,Wāris Alīganj,25.02,85.63,69.67,60,0,1.57,IN,1605390300
233,Imeni Poliny Osipenko,52.42,136.49,23.68,97,100,0.38,RU,1605390302
234,Enshi,30.3,109.48,49.19,76,0,0.4,CN,1605390303
235,Gravdal,68.12,13.5,47.05,74,88,26.89,NO,1605390305
236,Itarema,-2.92,-39.92,81.63,75,55,16.51,BR,1605390306
237,Faya,18.39,42.45,62.6,87,0,2.24,SA,1605390308
238,Yumen,40.28,97.2,28.11,92,62,10.56,CN,1605390310
239,Harper,4.38,-7.72,78.58,87,14,8.32,LR,1605390312
240,East London,-33.02,27.91,66.42,75,100,6.06,ZA,1605390313
241,São Filipe,14.9,-24.5,80.6,62,32,7.54,CV,1605390315
242,Cairns,-16.92,145.77,79.0,83,90,1.12,AU,1605390222
243,Kambove,-10.88,26.6,62.8,100,100,3.18,CD,1605390319
244,Nemuro,43.32,145.57,42.12,71,0,10.67,JP,1605390320
245,Katangli,51.71,143.23,30.96,94,70,11.21,RU,1605390322
246,Beloha,-25.17,45.05,63.63,72,0,14.27,MG,1605390323
247,San Quintín,30.48,-115.95,66.78,66,0,15.84,MX,1605390324
248,Cornwall,45.02,-74.73,39.2,44,1,9.17,CA,1605390136
249,Quatre Cocos,-20.21,57.76,73.4,88,75,12.75,MU,1605390327
250,Dogondoutchi,13.64,4.03,83.71,20,0,11.36,NE,1605390329
251,Laguna,38.42,-121.42,60.01,67,40,4.7,US,1605390330
252,Airai,-8.93,125.41,64.69,75,2,1.5,TL,1605390331
253,Yukhnov,54.74,35.23,29.28,98,100,4.09,RU,1605390333
254,Vilhena,-12.74,-60.15,71.6,94,75,9.17,BR,1605390144
255,Lata,40.16,-8.33,64.99,92,93,1.99,PT,1605390336
256,Tando Adam,25.76,68.66,60.8,82,0,2.24,PK,1605390248
257,Ixtapa,20.7,-105.2,81.0,65,75,10.29,MX,1605390338
258,Saldanha,-33.01,17.94,55.4,76,0,6.93,ZA,1605390340
259,Yuzhno-Kurilsk,44.03,145.86,40.86,71,0,7.09,RU,1605390341
260,Lüderitz,-26.65,15.16,59.76,75,0,17.07,NA,1605390343
261,Nador,35.17,-2.93,62.6,82,0,3.36,MA,1605390344
262,Jejūri,18.28,74.17,70.7,68,46,5.3,IN,1605390346
263,Rio Casca,-20.23,-42.65,73.81,86,99,4.81,BR,1605390347
264,Kutum,14.2,24.67,64.31,27,0,16.75,SD,1605390348
265,Avarua,-21.21,-159.78,80.6,74,41,10.29,CK,1605390350
266,Contai,21.78,87.75,71.78,60,0,8.19,IN,1605390351
267,Sistranda,63.73,8.83,46.4,61,0,14.99,NO,1605390353
268,Songjianghe,42.19,127.48,34.74,81,94,6.44,CN,1605390354
269,Adrar,20.5,-10.07,79.93,16,100,8.95,MR,1605390356
270,Shubarshi,48.59,57.19,16.86,94,0,6.98,KZ,1605390357
271,Isiro,2.77,27.62,66.83,96,100,1.59,CD,1605390358
272,Peniche,39.36,-9.38,66.0,86,99,5.01,PT,1605390360
273,Safaga,26.73,33.94,73.4,49,0,11.41,EG,1605390361
274,Tak,16.58,98.83,62.55,99,18,2.17,TH,1605390363
275,Dourados,-22.22,-54.81,81.95,57,18,3.18,BR,1605390364
276,Bonavista,48.65,-53.11,34.0,92,100,5.82,CA,1605390365
277,Olpād,21.33,72.75,78.69,67,28,3.0,IN,1605390367
278,Eisenerz,47.53,14.88,37.99,78,90,1.12,AT,1605390368
279,Clyde River,70.47,-68.59,23.0,79,90,31.09,CA,1605390371
280,Nome,64.5,-165.41,21.2,67,1,14.99,US,1605390372
281,Kamenka,51.32,42.77,32.0,95,100,8.57,RU,1605390374
282,Guiyang,26.58,106.72,41.0,93,0,1.81,CN,1605390375
283,Kavaratti,10.57,72.64,82.35,77,100,6.38,IN,1605390377
284,Westport,41.14,-73.36,48.99,61,0,9.13,US,1605390378
285,Hamilton,39.18,-84.53,55.0,54,90,11.41,US,1605390088
286,Dwārka,22.24,68.97,77.92,61,0,7.87,IN,1605390381
287,Pacific Grove,36.62,-121.92,63.0,63,1,6.93,US,1605390140
288,Kirovskiy,45.09,133.51,32.63,93,95,6.06,RU,1605390384
289,Amparafaravola,-17.58,48.22,66.61,77,81,7.31,MG,1605390385
290,Oussouye,12.48,-16.55,78.8,74,0,4.7,SN,1605390386
291,Alice Springs,-23.7,133.88,84.2,42,43,26.4,AU,1605390110
292,Lichtenburg,-26.15,26.16,68.54,30,18,7.02,ZA,1605390391
293,Megion,61.03,76.11,5.0,92,90,6.71,RU,1605390392
294,Cartagena,10.4,-75.51,80.6,88,75,16.11,CO,1605390393
295,Nazca,-14.83,-74.95,76.82,40,0,7.49,PE,1605390395
296,Palauig,15.44,119.9,80.22,72,84,5.19,PH,1605390398
297,Muskegon,43.3,-86.13,44.6,45,90,13.87,US,1605390399
298,Vangaindrano,-23.35,47.6,67.84,77,99,4.29,MG,1605390400
299,Ende,-8.84,121.66,79.56,73,55,1.43,ID,1605390402
300,Fairbanks,64.84,-147.72,15.8,85,90,1.74,US,1605390308
301,Mahajanga,-15.72,46.32,80.6,88,40,8.05,MG,1605390405
302,Liuzhou,24.31,109.39,67.15,53,98,3.09,CN,1605390407
303,Heide,54.2,9.1,53.01,95,100,1.99,DE,1605390409
304,Mount Isa,-20.73,139.5,84.2,54,12,5.82,AU,1605390410
305,Tūkrah,32.53,20.58,67.23,62,73,10.27,LY,1605390412
306,Sunām,30.13,75.8,61.7,31,0,8.12,IN,1605390413
307,Mayo,38.89,-76.51,57.2,41,1,5.82,US,1605390414
308,Kulevcha,46.03,29.94,42.15,71,52,2.21,UA,1605390416
309,Niamey,13.51,2.11,82.4,26,3,3.36,NE,1605390417
310,Kaeo,-35.1,173.78,72.0,52,65,1.99,NZ,1605390419
311,Raja,8.46,25.68,75.31,34,8,2.3,SS,1605390420
312,São João da Barra,-21.64,-41.05,77.0,94,75,2.24,BR,1605390422
313,Charagua,-19.8,-63.22,96.8,34,75,4.7,BO,1605390423
314,Ambikāpur,23.12,83.2,65.53,75,1,3.27,IN,1605390424
315,Turaif,31.67,38.66,55.4,66,75,11.41,SA,1605390426
316,Ningxiang,37.34,111.21,42.46,65,29,5.53,CN,1605390427
317,Nong Phai,15.99,101.06,67.48,78,2,3.13,TH,1605390428
318,Half Moon Bay,37.46,-122.43,59.0,71,1,16.11,US,1605390431
319,Meshchovsk,54.32,35.28,28.26,98,99,5.08,RU,1605390433
320,Te Anau,-45.42,167.72,59.34,74,100,5.88,NZ,1605390434
321,Río Gallegos,-51.62,-69.22,53.6,37,75,17.22,AR,1605390436
322,Nouadhibou,20.93,-17.03,78.8,29,0,12.75,MR,1605390437
323,San Juan,-31.54,-68.54,71.65,48,12,21.59,AR,1605390439
324,Bozeman,45.68,-111.04,36.0,37,75,18.34,US,1605390440
325,Laas,46.62,10.7,37.99,57,40,1.48,IT,1605390441
326,Areosa,41.72,-8.86,64.0,100,90,13.87,PT,1605390443
327,Poum,-20.23,164.02,78.28,80,0,7.52,NC,1605390446
328,Sørland,67.67,12.69,47.55,73,36,32.53,NO,1605390447
329,Baracoa,20.35,-74.5,79.45,77,91,13.38,CU,1605390309
330,Chumikan,54.72,135.31,17.37,94,41,15.88,RU,1605390450
331,Los Llanos de Aridane,28.66,-17.92,75.2,64,0,5.82,ES,1605390451
332,Naica,27.85,-105.48,82.92,15,35,11.99,MX,1605390452
333,Soyo,-6.13,12.37,78.19,87,100,7.43,AO,1605390454
334,Coolum Beach,-26.53,153.1,78.01,93,7,1.99,AU,1605390457
335,Strausberg,52.58,13.89,50.0,30,100,8.52,DE,1605390458
336,Naze,28.37,129.48,73.4,73,20,11.41,JP,1605390459
337,Rock Sound,24.9,-76.2,79.72,80,0,13.56,BS,1605390461
338,Honiara,-9.43,159.95,84.2,74,20,2.24,SB,1605390462
339,Uvalde,29.37,-99.77,84.99,48,1,3.36,US,1605390464
340,Mabaruma,8.2,-59.78,78.96,83,46,5.06,GY,1605390466
341,Krasnosel'kup,65.7,82.47,-13.36,89,55,8.25,RU,1605390468
342,Fort Nelson,58.81,-122.7,17.6,78,90,1.7,CA,1605390303
343,Dunedin,-45.87,170.5,64.99,59,100,3.67,NZ,1605390279
344,Maragogi,-9.01,-35.22,78.26,83,1,10.13,BR,1605390472
345,Otradnoye,59.78,30.82,32.0,87,1,4.99,RU,1605390473
346,Mildura,-34.2,142.15,78.01,29,0,18.34,AU,1605390475
347,Amahai,-3.33,128.92,82.0,93,40,3.29,ID,1605390476
348,Bārmer,25.75,71.38,70.0,39,0,3.56,IN,1605390477
349,Bodø,67.28,14.4,45.0,65,20,17.22,NO,1605390479
350,Mogadishu,2.04,45.34,79.2,83,1,9.57,SO,1605390480
351,Puerto Colombia,10.99,-74.95,77.0,94,90,9.17,CO,1605390482
352,Saint Paul Harbor,57.79,-152.41,37.4,47,1,11.41,US,1605390483
353,Sambava,-14.27,50.17,74.57,88,85,5.26,MG,1605390484
354,Zihuatanejo,17.63,-101.55,89.6,62,20,6.31,MX,1605390486
355,Dzhebariki-Khaya,62.22,135.8,7.56,95,99,0.92,RU,1605390487
356,Lapua,62.97,23.01,41.0,90,100,8.01,FI,1605390489
357,Nadym,65.53,72.52,-3.46,90,96,8.99,RU,1605390490
358,Klaksvík,62.23,-6.59,44.6,100,84,8.05,FO,1605390491
359,Gambo,4.65,22.26,70.0,69,84,0.89,CF,1605390493
360,Ishinomaki,38.42,141.3,35.6,77,20,5.82,JP,1605390494
361,Narón,43.52,-8.15,64.0,91,100,8.99,ES,1605390496
362,Tangará,-6.2,-35.8,80.6,83,40,8.05,BR,1605390497
363,Souillac,-20.52,57.52,73.4,88,75,12.75,MU,1605390498
364,North Charleston,32.89,-80.01,73.99,69,20,10.29,US,1605390500
365,Virden,39.5,-89.77,50.0,91,87,11.01,US,1605390501
366,Tiznit Province,29.58,-9.5,72.21,30,12,4.25,MA,1605390502
367,Togur,58.36,82.83,18.93,97,100,3.78,RU,1605390505
368,Sittwe,20.15,92.9,74.52,79,0,6.76,MM,1605390507
369,Rast,43.88,23.28,42.01,93,1,2.17,RO,1605390508
370,Bosaso,11.28,49.18,73.87,76,21,1.68,SO,1605390493
371,Dingle,11.0,122.67,76.14,92,27,6.98,PH,1605390511
372,Bubaque,11.28,-15.83,84.96,58,0,7.47,GW,1605390512
373,Taltal,-25.4,-70.48,62.82,62,22,6.15,CL,1605390514
